,date,macd_value,macd_price_signal,rsi_20,rsi_50,sma_diff,sma_signal,ema_diff,ema_signal,macd_diff,macd_signal,target
70,2015-04-15,0.1027330582252759,0.08789411378115068,53.75260396533861,55.416255118714034,0.0042000961303720885,True,0.46394860335003685,True,0.014838944444125216,True,True
71,2015-04-16,0.09393547465357699,0.08910238595563597,52.40006128076932,54.884187875846266,-0.0621499252319353,False,0.4475966049438256,True,0.004833088697941024,True,True
72,2015-04-17,0.05765367494403861,0.0828126437533164,49.35684530607908,53.6603764534778,-0.12247493743896598,False,0.4118670407424396,True,-0.025158968809277787,False,True
73,2015-04-20,0.08540750995401325,0.08333161699345577,54.89152353245378,55.68412859320392,-0.1395249557495113,False,0.4190971965336878,True,0.0020758929605574766,True,True
74,2015-04-21,0.09241825845462515,0.08514894528568967,53.404136083919,55.08976681162509,-0.183174915313721,False,0.4141718362836535,True,0.007269313168935476,True,True
75,2015-04-22,0.1309597837368024,0.09431111297591227,56.48043070123553,56.27014063006169,-0.20354997634887795,False,0.432242711547552,True,0.03664867076089012,True,True
76,2015-04-23,0.18060370342669785,0.11156963106606949,58.261537731603305,56.97862310044277,-0.16317497253417912,False,0.4610120006313245,True,0.06903407236062836,True,True
77,2015-04-24,0.22960546821603245,0.13517679849606218,59.280650776530415,57.38788167318017,-0.11467496871948057,False,0.4928236443897056,True,0.09442866971997027,True,True
78,2015-04-27,0.3126449691871116,0.17067043263427217,62.977604453720794,58.93655551039912,-0.028125019073488744,False,0.5517668710591259,True,0.14197453655283943,True,True
79,2015-04-28,0.3324610252612423,0.2030285511596663,58.08248974282568,57.07014233670277,0.0068499374389645595,True,0.5717200597939645,True,0.12943247410157602,True,True
80,2015-04-29,0.3059074461734994,0.22360433016243297,54.021994248147806,55.424799571761945,0.05542493820190586,True,0.5600815742324663,True,0.08230311601106644,True,True
81,2015-04-30,0.21201667302088367,0.22128679873412316,47.64841993997279,52.611436018351576,0.08452495574951158,True,0.49907021462982826,True,-0.009270125713239485,False,True
82,2015-05-01,0.21182222862667288,0.2193938847126331,53.88427217434441,55.14131695084046,0.12739992141723633,True,0.49730970956921894,True,-0.007571656085960221,False,True
83,2015-05-04,0.20427023302756098,0.21636915437561866,53.443419389378136,54.94440102749101,0.14827491760253864,True,0.49042446665312767,True,-0.012098921348057678,False,True
84,2015-05-05,0.1381912777516483,0.20073357905082456,48.58934851150542,52.71607974721293,0.18164991378784023,True,0.4420481077862384,True,-0.06254230129917626,False,True
85,2015-05-06,0.06909027483751728,0.1744049182081631,47.355977913678394,52.128410075186665,0.21007493972778235,True,0.3872952042072839,True,-0.1053146433706458,False,True
86,2015-05-07,0.01914969071864192,0.14335387271025885,47.79737923673213,52.300119369307,0.21147495269775263,True,0.34175018386854816,True,-0.12420418199161692,False,True
87,2015-05-08,0.02686953504370848,0.12005700517694877,51.812234193065905,53.893161729294306,0.2319749832153306,True,0.3338941432097826,True,-0.09318747013324029,False,True
88,2015-05-11,0.006685769957769594,0.09738275813311294,49.600308260307024,52.900107944496504,0.23605003356933452,True,0.30763216198910825,True,-0.09069698817534334,False,False
89,2015-05-12,-0.018178172209438515,0.07427057206460265,48.84057589510392,52.55803607770523,0.2467749977111815,True,0.2773589013431845,True,-0.09244874427404116,False,False
90,2015-05-13,-0.03465930916766524,0.052484595818149064,49.09591764704797,52.65522647133433,0.25390003204345746,True,0.2519656466232121,True,-0.08714390498581431,False,False
91,2015-05-14,0.011455263465592225,0.04427872934763769,54.1540897616086,54.64621415397214,0.2865999984741201,True,0.27008286786350055,True,-0.03282346588204547,False,False
92,2015-05-15,0.043864782802366165,0.04419594003858339,53.80951400083735,54.503028549087226,0.3250500488281247,True,0.2823039815082744,True,-0.0003311572362172249,False,False
93,2015-05-18,0.0970759365536793,0.05477193934160258,56.12772501168663,55.44288858340827,0.3394750785827654,True,0.3117407020293932,True,0.04230399721207672,True,False
94,2015-05-19,0.13526624816900323,0.07087080110708271,55.878268092733926,55.3443052841401,0.3643250846862749,True,0.3344851641221318,True,0.06439544706192052,True,False
95,2015-05-20,0.16344631066046134,0.08938590301775845,55.856469506613806,55.33593001114861,0.354575138092045,True,0.3528662722986553,True,0.07406040764270289,True,False
96,2015-05-21,0.21018625826223314,0.11354597406665341,58.14041149280245,56.23390873631592,0.3303251457214387,True,0.3861369843669955,True,0.09664028419557973,True,True
97,2015-05-22,0.26734488793596256,0.14430575684051525,60.022968920499736,56.9967363223565,0.31812509536742795,True,0.42970810504836265,True,0.12303913109544731,True,True
98,2015-05-26,0.25084716218471925,0.16561403790935605,53.582206088986666,54.53400523861392,0.25010011672973675,True,0.4251143861880671,True,0.0852331242753632,True,True
99,2015-05-27,0.2833249144350205,0.18915621321448897,57.55549512637889,56.13678498883687,0.23315008163452333,True,0.45339998948187343,True,0.09416870122053153,True,True
100,2015-05-28,0.3003566049719595,0.21139629156598314,57.00367938982411,55.92067114711941,0.24870008468628058,True,0.47265512526034215,True,0.08896031340597635,True,True
101,2015-05-29,0.280363173162975,0.22518966788538153,53.86724960017299,54.681373924924564,0.30377506256103715,True,0.4666338260849727,True,0.05517350527759346,True,True
102,2015-06-01,0.2666888487971022,0.23348950406772565,54.32576431509138,54.858314611610055,0.3084500503540042,True,0.4632951766212017,True,0.03319934472937655,True,True
103,2015-06-02,0.24136948977544392,0.2350655012092693,53.08679486744819,54.375057345715156,0.30390014648437713,True,0.4505444398491427,True,0.0063039885661746176,True,True
104,2015-06-03,0.2219723831482625,0.23244687759706797,53.39541930870265,54.48790881350432,0.343350067138676,True,0.44001668297172714,True,-0.010474494448805466,False,True
105,2015-06-04,0.18908905260447995,0.22377531259855038,51.6949011853425,53.84236623648014,0.38437505722045984,True,0.4185836854714857,True,-0.034686259994070434,False,True
106,2015-06-05,0.14701123632730173,0.20842249734430068,50.125043011182065,53.24105772329674,0.40039997100829794,True,0.3884506064914284,True,-0.06141126101699895,False,True
107,2015-06-08,0.09541757800844408,0.18582151347712936,48.27753641979674,52.52448424814276,0.38484994888305835,True,0.3489076959913078,True,-0.09040393546868528,False,True
108,2015-06-09,0.04632937903062384,0.15792308658782828,47.45442378831372,52.20395599136153,0.3777499389648469,True,0.3079114069570785,True,-0.11159370755720444,False,True
109,2015-06-10,0.03645891108634913,0.13363025148753246,50.84390778035232,53.32073724026929,0.40282495498657767,True,0.291561781071632,True,-0.09717134040118333,False,False
110,2015-06-11,0.022526510936422994,0.11140950337731056,50.167279239719626,53.0694038233323,0.41427490234375597,True,0.2722005987998344,True,-0.08888299244088757,False,False
111,2015-06-12,-0.01696492957176332,0.08573461678749579,46.94714510439682,51.84833588982978,0.37742492675781136,True,0.2344752524781839,True,-0.10269954635925911,False,False
112,2015-06-15,-0.05269793547056878,0.05804810633588287,46.39525124195708,51.63490114654711,0.3462998580932606,True,0.19730592547475823,True,-0.11074604180645164,False,False
113,2015-06-16,-0.06653208295350765,0.03313206847800476,48.140744392629855,52.1812518665146,0.3126748085021944,True,0.17377813050718416,True,-0.09966415143151242,False,False
114,2015-06-17,-0.08259541300366635,0.009986572181670532,47.42362487005752,51.917235745772054,0.2715997505187957,True,0.14847705210827655,True,-0.09258198518533689,False,False
115,2015-06-18,-0.08267255524195605,-0.00854525330305479,48.97060447077385,52.39243404507288,0.23294975280762031,True,0.13404866676482285,True,-0.07412730193890125,False,False
