,date,open,high,low,close,adjclose,volume,ticker
0,2014-09-23,25.149999618530273,25.735000610351562,25.135000228881836,25.65999984741211,22.96293067932129,253608800,AAPL
1,2014-09-24,25.540000915527344,25.712499618530273,25.299999237060547,25.4375,22.76381492614746,240687200,AAPL
2,2014-09-25,25.127500534057617,25.177499771118164,24.43000030517578,24.467500686645508,21.895767211914062,400368000,AAPL
3,2014-09-26,24.63249969482422,25.1875,24.600000381469727,25.1875,22.54009246826172,249482000,AAPL
4,2014-09-29,24.662500381469727,25.110000610351562,24.657499313354492,25.02750015258789,22.396907806396484,199065200,AAPL
5,2014-09-30,25.202499389648438,25.385000228881836,25.13249969482422,25.1875,22.54009246826172,221056400,AAPL
6,2014-10-01,25.147499084472656,25.172500610351562,24.674999237060547,24.795000076293945,22.188846588134766,205965200,AAPL
7,2014-10-02,24.8174991607666,25.05500030517578,24.510000228881836,24.975000381469727,22.349929809570312,191031200,AAPL
8,2014-10-03,24.860000610351562,25.052499771118164,24.760000228881836,24.905000686645508,22.28728675842285,173878400,AAPL
9,2014-10-06,24.987499237060547,25.162500381469727,24.854999542236328,24.905000686645508,22.28728675842285,148204800,AAPL
10,2014-10-07,24.857500076293945,25.030000686645508,24.6825008392334,24.6875,22.092641830444336,168376800,AAPL
11,2014-10-08,24.690000534057617,25.27750015258789,24.577499389648438,25.200000762939453,22.5512752532959,229618800,AAPL
12,2014-10-09,25.385000228881836,25.594999313354492,25.15250015258789,25.2549991607666,22.600502014160156,309506000,AAPL
13,2014-10-10,25.172500610351562,25.50749969482422,25.075000762939453,25.1825008392334,22.53561782836914,265326400,AAPL
14,2014-10-13,25.332500457763672,25.44499969482422,24.952499389648438,24.952499389648438,22.329790115356445,214333600,AAPL
15,2014-10-14,25.09749984741211,25.1299991607666,24.642499923706055,24.6875,22.092641830444336,254754400,AAPL
16,2014-10-15,24.49250030517578,24.787500381469727,23.795000076293945,24.385000228881836,21.821943283081055,403734400,AAPL
17,2014-10-16,23.887500762939453,24.43000030517578,23.852500915527344,24.065000534057617,21.535573959350586,288618000,AAPL
18,2014-10-17,24.375,24.75,24.202499389648438,24.417499542236328,21.851024627685547,272718800,AAPL
19,2014-10-20,24.579999923706055,24.989999771118164,24.55500030517578,24.940000534057617,22.318607330322266,310069200,AAPL
20,2014-10-21,25.7549991607666,25.7549991607666,25.3174991607666,25.61750030517578,22.924898147583008,378495600,AAPL
21,2014-10-22,25.709999084472656,26.02750015258789,25.649999618530273,25.747499465942383,23.04123306274414,273052400,AAPL
22,2014-10-23,26.020000457763672,26.262500762939453,25.907499313354492,26.207500457763672,23.452884674072266,284298800,AAPL
23,2014-10-24,26.295000076293945,26.372499465942383,26.13249969482422,26.30500030517578,23.540136337280273,188215600,AAPL
24,2014-10-27,26.212499618530273,26.3700008392334,26.174999237060547,26.27750015258789,23.51552963256836,136750800,AAPL
25,2014-10-28,26.350000381469727,26.684999465942383,26.337499618530273,26.684999465942383,23.88019561767578,192243600,AAPL
26,2014-10-29,26.662500381469727,26.842500686645508,26.59000015258789,26.834999084472656,24.014429092407227,210751600,AAPL
27,2014-10-30,26.739999771118164,26.837499618530273,26.475000381469727,26.7450008392334,23.93389129638672,162619200,AAPL
